1	"Production Agency"	"The agency responsible for the production of the data (AML)"	"IHO code for producing agencies"	"AGENCY"				"Coded String"
2	"Beacon Shape"	"Describes the shape of a beacon."		"BCNSHP"				"Enumeration"
3	"Building Shape"	"Describes the specific shape of a building."		"BUISHP"				"Enumeration"
4	"Buoy Shape"	"Describes the shape of a buoy."		"BOYSHP"				"Enumeration"
5	"Buried Depth"	"The depth below the sea bed to which an object is buried.                                                                              (S-57 Annex A, Appendix A, IHO Object Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"BURDEP"		0,1		"Real"
6	"Call Sign"	"The designated call sign of a radio station."		"CALSGN"				"String"
7	"Category of Airport/airfield"	"Category of Airport/airfield"		"CATAIR"				"List"
8	"Type of Anchorage"	"Type of Anchorage"		"CATACH"				"Enumeration"
9	"Bridge Classification"	"Bridge Classification"		"CATBRG"				"List"
10	"Type of Built-up Area"	"Type of Built-up Area"		"CATBUA"				"Enumeration"
11	"Type of Cable"	"Type of Cable"		"CATCBL"				"Enumeration"
12	"Category of canal"	"Category of canal"		"CATCAN"				"Enumeration"
13	"Category of Cardinal Mark"	"Category of Cardinal Mark"	"Cardinal Marks do not have a distinctive shape but are normally pillar or spar. They are always painted in yellow and black horizontal bands and their distinctive double cone topmarks are always black."	"CATCAM"				"Enumeration"
14	"Category of Checkpoint"	"Category of Checkpoint"		"CATCHP"				"Enumeration"
15	"Category of Coastline"	"Category of Coastline"		"CATCOA"				"Enumeration"
16	"Class of Control Point"	"Class of Control Point"		"CATCTR"				"Enumeration"
17	"Type of Conveyor"	"Type of Conveyor"		"CATCON"				"Enumeration"
18	"Category of Coverage"	"The availability of coverage. (AML)"		"CATCOV"				"Enumeration"
19	"Category of crane"	"Category of crane"		"CATCRN"				"Enumeration"
20	"Category of dam"	"Category of dam"		"CATDAM"				"Enumeration"
21	"Category of distance mark"	"Category of distance mark"		"CATDIS"				"Enumeration"
22	"Category of dock"	"Category of dock"		"CATDOC"				"Enumeration"
23	"Classification of Dumping Ground"	"Classification of Dumping Ground"		"CATDPG"				"List"
24	"Category of fence/wall"	"Category of fence/wall"		"CATFNC"				"Enumeration"
25	"Category of Ferry"	"Category of Ferry"	"The attribute 'category of ferry' does not encode the various types of vessel, but the manoeuvrability of the ferry."	"CATFRY"				"Enumeration"
26	"Category of Fishing Facility"	"Category of Fishing Facility"		"CATFIF"				"Enumeration"
27	"Category of Fog Signal"	"Category of Fog Signal"		"CATFOG"				"Enumeration"
28	"Type of Fortified Structure"	"Type of Fortified Structure"		"CATFOR"				"Enumeration"
29	"Category of gate"	"Category of gate"		"CATGAT"				"Enumeration"
30	"Category of Harbour Facility"	"Category of Harbour Facility"		"CATHAF"				"List"
31	"Category of Hulk"	"Category of hulk"		"CATHLK"				"List"
32	"Classification of Ice"	"Classification of Ice"		"CATICE"				"Enumeration"
33	"Category of Installation Buoy"	"Category of Installation Buoy"		"CATINB"				"Enumeration"
34	"Classification of Land Region"	"General terms for describing landscapes e.g. land use and/or geology. (AML)"		"CATLND"				"Enumeration"
35	"Type of Landmark"	"Type of Landmark"		"CATLMK"				"Enumeration"
36	"Category of Lateral Mark"	"Category of Lateral Mark"	"There are 2 international buoyage regions, A & B between which lateral marks differ. The buoyage region is encoded using the attribute MARSYS. When top-marks, retro reflectors and/or lights are fitted to these marks, they are encoded as separate objects"	"CATLAM"				"Enumeration"
37	"Category of Light"	"Category of Light"		"CATLIT"				"List"
38	"Category of Marine farm/culture"	"Category of Marine farm/culture"		"CATMFA"				"Enumeration"
39	"Category of Military Practice Area"	"Category of Military Practice Area"		"CATMPA"				"List"
40	"Category of Mooring facility"	"Category of Mooring facility"		"CATMOR"				"Enumeration"
41	"Category of Navigation Line"	"Category of navigation line"		"CATNAV"				"Enumeration"
42	"Category of Obstruction"	"Description of the type of obstruction.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"CATOBS"				"Enumeration"
43	"Category of Offshore Platform"	"Category of Offshore Platform"		"CATOFP"				"List"
44	"Category of Oil Barrier"	"Category of oil barrier"		"CATOLB"				"Enumeration"
45	"Category of Pile"	"Category of pile"		"CATPLE"				"Enumeration"
46	"Category of Pilot Boarding Place"	"Category of pilot boarding place"		"CATPIL"				"Enumeration"
47	"Category of Pipeline"	"Category of Pipeline"		"CATPIP"				"List"
48	"Category of Production Area"	"Category of Production Area"		"CATPRA"				"Enumeration"
49	"Category of pylon"	"Category of pylon"		"CATPYL"				"Enumeration"
51	"Category of Radar Station"	"Category of Radar Station"		"CATRAS"				"Enumeration"
52	"Category of Radar Transponder Beacon"	"Category of Radar Transponder Beacon"		"CATRTB"				"Enumeration"
53	"Category of Radio Station"	"A radiobeacon is a radio transmitter which emits a distinctive or characteristic signal on which a bearing may be taken (IHO Dictionary, S-32, 5th Edition, 4168)."		"CATROS"				"List"
54	"Category of Recommended Track"	"Category of Recommended Track"		"CATTRK"				"Enumeration"
55	"Category of Rescue Station"	"Category of Rescue Station. The type of equipment or service that may be found at the rescue station. (AML)"		"CATRSC"				"List"
56	"Category of Restricted Area"	"Category of Restricted Area"		"CATREA"				"Enumeration"
57	"Category of road"	"Category of road"		"CATROD"				"List"
58	"Category of runway"	"Category of runway"		"CATRUN"				"Enumeration"
59	"Category of Sea Area"	"Category of Sea Area"		"CATSEA"				"Enumeration"
60	"Type of Shoreline Construction"	"Type of Shoreline Construction"		"CATSLC"				"Enumeration"
61	"Category of Signal Station, traffic"	"Category of signal station, traffic"		"CATSIT"				"List"
62	"Category of signal station, warning"	"Category of signal station, warning"		"CATSIW"				"List"
63	"Category of silo/tank"	"Category of silo/tank"		"CATSIL"				"Enumeration"
64	"Category of Slope"	"Category of Slope"		"CATSLO"				"Enumeration"
65	"Category of small craft facility"	"Category of small craft facility"		"CATSCF"				"List"
66	"Category of Special Purpose Mark"	"Category of Special Purpose Mark"	"A mark may be a beacon, a buoy, a signpost or may take another form."	"CATSPM"				"List"
67	"Category of Traffic Separation Scheme"	"Category of Traffic Separation Scheme"		"CATTSS"				"Enumeration"
68	"Category of vegetation"	"Category of vegetation"		"CATVEG"				"List"
70	"Category of Weed/Kelp"	"Category of Weed/Kelp"		"CATWED"				"Enumeration"
71	"Category of Wreck"	"Descripton of the type of  Wreck.(S-57 Annex A, Appendix A, Chapter 2 Attributes). See also attribute ""Type of Wreck"" for indication of the vessel type before it became a wreck."		"CATWRK"				"Enumeration"
75	"Colour"	"Colour"		"COLOUR"				"List"
76	"Colour Pattern"	"Colour Pattern"		"COLPAT"				"List"
77	"Communication Channel"	"A channel number assigned to a specific radio frequency, frequencies or frequency band."		"COMCHA"				"Coded String"
80	"Source Scale"	"The scale at which the source data has been compiled. (AML)"		"CSCALE"				"Integer"
81	"Condition"	"The state of the object where it is not considered to be normal i.e. completed, undamaged or working normally.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"CONDTN"				"List"
82	"Conspicuous, Radar"	"Indicates if the object returns a radar echo. (S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"CONRAD"				"Enumeration"
83	"Conspicuous, Visually"	"Indicates if the object is distinctly visible from seaward.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"CONVIS"				"Enumeration"
84	"Current Velocity"	"The rate of travel of a non-gravitational current  (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"CURVEL"	"Kt"	0,1		"Real"
85	"End Date"	"Indicates the latest date on which an object will be present.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD) according to ISO 8601: 1988."	"DATEND"				"Date"
86	"Start Date"	"Indicates the earliest date on which an object will be present.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD) according to ISO 8601: 1988."	"DATSTA"				"Date"
87	"Depth range - shoalest value"	"The minimum (shoalest) value of a depth range. (S-57 Annex , Appendix A, IHO Catalogue)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class"	"DRVAL1"		0,1		"Real"
88	"Depth range - deepest value"	"The maximum (deepest) value of a depth range.  (S-57 Annex , Appendix A, IHO Catalogue)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class"	"DRVAL2"		0,1		"Real"
89	"Depth units"	"Unit of measurement for depths (AML)"		"DUNITS"				"Enumeration"
90	"Elevation"	"The altitude of the ground level of an object, measured from a specified vertical datum. (S-57 Annex , Appendix A, IHO Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class"	"ELEVAT"		0,1		"Real"
91	"Estimated Range of Transmission"	"The estimated range of a non-optical electromagnetic transmission."	"The estimated range assumes 'in vacuo' transmission and a standard antenna height of 5 metres. Thus it gives a hint to the mariner whether he is likely to receive transmission at a certain distance from an object carrying this attribute"	"ESTRNG"	"NM"	0,1		"Real"
92	"Exhibition Condition of Light"	"Exhibition Condition of Light"		"EXCLIT"				"Enumeration"
93	"Exposition of Sounding"	"Relationship of the sounding to its surroundings. (AML)"		"EXPSOU"				"Enumeration"
94	"Function"	"Function"		"FUNCTN"				"List"
95	"Height"	"Value of the vertical distance to the highest point of the object, measured from a specified vertical datum.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class. Height must not be used for floating objects."	"HEIGHT"		0,1		"Real"
96	"Height/Length Units"	"Unit of measurement for heights and lengths. (AML)"		"HUNITS"				"Enumeration"
