2	"Beacon Shape"	1	"stake, pole, perch, post"	"An elongated wood or metal pole, embedded in the bottom to serve as a navigational aid or a support for a navigational aid. (adapted from IHO Dictionary S-32, 5th Edition, 4960)"
2	"Beacon Shape"	2	"withy"	"A tree without roots stuck or spoiled into the bottom of the sea to serve as a navigational aid."
2	"Beacon Shape"	3	"beacon tower"	"A solid structure of the order of 10 metres in height used as a navigational aid."
2	"Beacon Shape"	4	"lattice beacon"	"A structure consisting of strips of metal or wood crossed or interlaced to form a structure to serve as an aid to navigation or as a support for an aid to navigation."
2	"Beacon Shape"	5	"pile beacon"	"A long heavy timber(s) or section(s) of steel, wood, concrete, etc., forced into the seabed to serve as an aid to navigation or as a support for an aid to navigation.(Adapted from IHO Dictionary, S-32, 5th Edition, 3840 and Navigation Dictionary, US National Oceanic and Atmospheric Administration - NOAA, 1969)"
2	"Beacon Shape"	6	"cairn"	"A mound of stones, usually conical or pyramidal, raised specifically for maritime navigation. (adapted from IHO Dictionary, S-32, 5th Edition, 601)."
2	"Beacon Shape"	7	"buoyant beacon"	"A tall spar-like beacon fitted with a permanently submerged buoyancy chamber, the lower end of the body is secured to seabed sinker either by a flexible joint or by a cable under tension. (IHO Specifications, M-4, 459.1)"
3	"Building Shape"	5	"high rise building"	"A building having many storeys. (The New Shorter Oxford English Dictionary, 1993)"
3	"Building Shape"	6	"pyramid"	"A polyhedron of which one face is a polygon of any number of sides, and the other faces are triangles with a common vertex. (The New Shorter Oxford English Dictionary, 1993)"
3	"Building Shape"	7	"cylindrical"	"Shaped like a cylinder, which is a solid geometrical figure generated by straight lines fixed in direction and describing with one of its points a close curve, especially a circle. (The New Shorter Oxford English Dictionary, 1993)"
3	"Building Shape"	8	"spherical"	"Shaped like a sphere, which is a body the surface of which is at all points equidistant from the centre. (The New Shorter Oxford English Dictionary, 1993)"
3	"Building Shape"	9	"cubic"	"A shape the sides of which are six equal squares; a regular hexahedron. (The New Shorter Oxford English Dictionary, 1993)"
4	"Bouy Shape"	1	"conical (nun, ogival)"	"The upper part of the body above the water-line, or the greater part of the superstructure, has approximately the shape or the appearance of a pointed cone with the point upwards."
4	"Bouy Shape"	2	"can (cylindrical)"	"The upper part of the body above the water-line, or the greater part of the superstructure, has the shape of a cylinder, or a truncated cone that approximates to a cylinder, with a flat end uppermost."
4	"Bouy Shape"	3	"spherical"	"The upper part of the body above the water-line, or the greater part of the superstructure, has the shape of a part of a sphere."
4	"Bouy Shape"	4	"pillar"	"The upper part of the body above the water-line, or the greater part of the superstructure is a narrow vertical structure, pillar or lattice tower."
4	"Bouy Shape"	5	"spar (spindle)"	"The upper part of the body above the water-line, or the greater part of the superstructure, has the form of a pole, or of a very long cylinder, floating upright."
4	"Bouy Shape"	6	"barrel (tun)"	"The upper part of the body above the water-line, or the greater part of the superstructure, has the form of a barrel or cylinder floating horizontally."
4	"Bouy Shape"	7	"super-buoy"	"A very large buoy, generally more than 5m in diameter."
4	"Bouy Shape"	8	"ice buoy"	"A specially constructed shuttle shaped buoy which is used in ice conditions."
7	"Category of Airport/airfield"	1	"military aeroplane airport"	"a large military airfield usually equipped with a control tower, hangars and accommodation for the receiving and discharging of passengers or cargo. (adapted from The Macquarie Dictionary, 1988)"
7	"Category of Airport/airfield"	2	"civil aeroplane airport"	"a large airfield usually equipped with a control tower, hangars and accommodation for the receiving and discharging of passengers or cargo. (The Macquarie Dictionary, 1988)"
7	"Category of Airport/airfield"	3	"military heliport"	"a landing place for helicopters controlled by the military."
7	"Category of Airport/airfield"	4	"civil heliport"	"a landing place for helicopters, often the roof of a building. (The Macquarie Dictionary, 1988)"
7	"Category of Airport/airfield"	5	"glider airfield"	"an area of land set aside for the take-off and landing of gliders."
7	"Category of Airport/airfield"	6	"small planes airfield"	"an area of land set aside for the take-off and landing of small aeroplanes."
7	"Category of Airport/airfield"	8	"emergency airfield"	"an area of land set aside for the take-off and landing of aeroplanes or helicopters in times of emergency. (AML)"
7	"Category of Airport/airfield"	501	"Search and Rescue"	"an airfield that is equipped with search and rescue aircraft and facilities (AML)"
8	"Type of Anchorage"	1	"unrestricted anchorage"	"An area in which vessels anchor or may anchor. (IHO Dictionary, S-32, 5th Edition, 130)"
8	"Type of Anchorage"	2	"deep water anchorage"	"An area in which vessels of deep draught, anchor or may anchor. (S-57 Annex A, Appendix A, IHO Object Catalogue)"
8	"Type of Anchorage"	3	"tanker anchorage"	"An area in which tankers anchor or may anchor. (S-57 Annex A, Appendix A, IHO Object Catalogue)"
