1	1	"Administration area (named)"	"Production Agency"		"Optional"	"Generic"
80	1	"Administration area (named)"	"Source Scale"		"Optional"	"Generic"
22491	1	"Administration area (named)"	"Copyright statement"		"Optional"	"Generic"
22489	1	"Administration area (named)"	"Absolute Vertical Accuracy"		"Optional"	"Generic"
97	1	"Administration area (named)"	"Relative Horizontal Accuracy"		"Optional"	"Generic"
102	1	"Administration area (named)"	"Supporting Textual Information"		"Optional"	"Generic"
300	1	"Administration area (named)"	"Supporting Textual Information (in national language characters)"		"Optional"	"Generic"
304	1	"Administration area (named)"	"Text File Reference (in national language characters)"		"Optional"	"Generic"
120	1	"Administration area (named)"	"Image File Link"		"Optional"	"Generic"
122	1	"Administration area (named)"	"Producing Country"		"Optional"	"Generic"
124	1	"Administration area (named)"	"Reference to a Publication"		"Optional"	"Generic"
128	1	"Administration area (named)"	"Capture Date"		"Optional"	"Generic"
133	1	"Administration area (named)"	"Scale Minimum"		"Optional"	"Generic"
132	1	"Administration area (named)"	"Scale Maximum"		"Optional"	"Generic"
20666	1	"Administration area (named)"	"Caveat"		"Optional"	"Generic"
20663	1	"Administration area (named)"	"International Defence Organisation (IDO) status"		"Optional"	"Generic"
20665	1	"Administration area (named)"	"Owner Authority"		"Optional"	"Generic"
20664	1	"Administration area (named)"	"Protective Marking"		"Optional"	"Generic"
147	1	"Administration area (named)"	"Source Date"		"Optional"	"Generic"
148	1	"Administration area (named)"	"Source Agency, Source Country, Source ID, Source Type"		"Optional"	"Generic"
158	1	"Administration area (named)"	"Text File Reference"		"Optional"	"Generic"
180	1	"Administration area (named)"	"Relative Vertical Accuracy"		"Optional"	"Generic"
103	1	"Administration area (named)"	"Jurisdiction"		"Optional"	"Specific"
111	1	"Administration area (named)"	"Nationality"		"Optional"	"Specific"
301	1	"Administration area (named)"	"Name (in national language characters)"		"Optional"	"Specific"
116	1	"Administration area (named)"	"Name"		"Optional"	"Specific"
1	2	"Airport/Airfield"	"Production Agency"		"Optional"	"Generic"
80	2	"Airport/Airfield"	"Source Scale"		"Optional"	"Generic"
22491	2	"Airport/Airfield"	"Copyright statement"		"Optional"	"Generic"
22489	2	"Airport/Airfield"	"Absolute Vertical Accuracy"		"Optional"	"Generic"
97	2	"Airport/Airfield"	"Relative Horizontal Accuracy"		"Optional"	"Generic"
102	2	"Airport/Airfield"	"Supporting Textual Information"		"Optional"	"Generic"
300	2	"Airport/Airfield"	"Supporting Textual Information (in national language characters)"		"Optional"	"Generic"
304	2	"Airport/Airfield"	"Text File Reference (in national language characters)"		"Optional"	"Generic"
120	2	"Airport/Airfield"	"Image File Link"		"Optional"	"Generic"
122	2	"Airport/Airfield"	"Producing Country"		"Optional"	"Generic"
124	2	"Airport/Airfield"	"Reference to a Publication"		"Optional"	"Generic"
128	2	"Airport/Airfield"	"Capture Date"		"Optional"	"Generic"
133	2	"Airport/Airfield"	"Scale Minimum"		"Optional"	"Generic"
132	2	"Airport/Airfield"	"Scale Maximum"		"Optional"	"Generic"
20666	2	"Airport/Airfield"	"Caveat"		"Optional"	"Generic"
20663	2	"Airport/Airfield"	"International Defence Organisation (IDO) status"		"Optional"	"Generic"
20665	2	"Airport/Airfield"	"Owner Authority"		"Optional"	"Generic"
20664	2	"Airport/Airfield"	"Protective Marking"		"Optional"	"Generic"
147	2	"Airport/Airfield"	"Source Date"		"Optional"	"Generic"
148	2	"Airport/Airfield"	"Source Agency, Source Country, Source ID, Source Type"		"Optional"	"Generic"
158	2	"Airport/Airfield"	"Text File Reference"		"Optional"	"Generic"
180	2	"Airport/Airfield"	"Relative Vertical Accuracy"		"Optional"	"Generic"
20670	2	"Airport/Airfield"	"Active period"		"Optional"	"Specific"
20516	2	"Airport/Airfield"	"Controlling authority"		"Mandatory"	"Specific"
7	2	"Airport/Airfield"	"Category of Airport/airfield"		"Mandatory"	"Specific"
90	2	"Airport/Airfield"	"Elevation"		"Optional"	"Specific"
96	2	"Airport/Airfield"	"Height/Length Units"		"Optional"	"Specific"
301	2	"Airport/Airfield"	"Name (in national language characters)"		"Optional"	"Specific"
116	2	"Airport/Airfield"	"Name"		"Optional"	"Specific"
20669	2	"Airport/Airfield"	"Runway length"		"Optional"	"Specific"
149	2	"Airport/Airfield"	"Status"		"Optional"	"Specific"
185	2	"Airport/Airfield"	"Vertical Datum"		"Optional"	"Specific"
20719	2	"Airport/Airfield"	"ICAO code"		"Optional"	"Specific"
40130	2	"Airport/Airfield"	"Communication Name"		"Optional"	"Specific"
40131	2	"Airport/Airfield"	"communication frequency 1"		"Optional"	"Specific"
40132	2	"Airport/Airfield"	"communication frequency 2"		"Optional"	"Specific"
40133	2	"Airport/Airfield"	"communication frequency 3"		"Optional"	"Specific"
40134	2	"Airport/Airfield"	"communication frequency 4"		"Optional"	"Specific"
40135	2	"Airport/Airfield"	"communication frequency 5"		"Optional"	"Specific"
103	2	"Airport/Airfield"	"Jurisdiction"		"Optional"	"Specific"
20678	2	"Airport/Airfield"	"Identification"		"Optional"	"Specific"
81	2	"Airport/Airfield"	"Condition"		"Optional"	"Specific"
83	2	"Airport/Airfield"	"Conspicuous, Visually"		"Optional"	"Specific"
1	3	"Anchor berth"	"Production Agency"		"Optional"	"Generic"
80	3	"Anchor berth"	"Source Scale"		"Optional"	"Generic"
22491	3	"Anchor berth"	"Copyright statement"		"Optional"	"Generic"
22489	3	"Anchor berth"	"Absolute Vertical Accuracy"		"Optional"	"Generic"
97	3	"Anchor berth"	"Relative Horizontal Accuracy"		"Optional"	"Generic"
102	3	"Anchor berth"	"Supporting Textual Information"		"Optional"	"Generic"
300	3	"Anchor berth"	"Supporting Textual Information (in national language characters)"		"Optional"	"Generic"
304	3	"Anchor berth"	"Text File Reference (in national language characters)"		"Optional"	"Generic"
120	3	"Anchor berth"	"Image File Link"		"Optional"	"Generic"
122	3	"Anchor berth"	"Producing Country"		"Optional"	"Generic"
124	3	"Anchor berth"	"Reference to a Publication"		"Optional"	"Generic"
128	3	"Anchor berth"	"Capture Date"		"Optional"	"Generic"
133	3	"Anchor berth"	"Scale Minimum"		"Optional"	"Generic"
132	3	"Anchor berth"	"Scale Maximum"		"Optional"	"Generic"
20666	3	"Anchor berth"	"Caveat"		"Optional"	"Generic"
20663	3	"Anchor berth"	"International Defence Organisation (IDO) status"		"Optional"	"Generic"
20665	3	"Anchor berth"	"Owner Authority"		"Optional"	"Generic"
20664	3	"Anchor berth"	"Protective Marking"		"Optional"	"Generic"
147	3	"Anchor berth"	"Source Date"		"Optional"	"Generic"
148	3	"Anchor berth"	"Source Agency, Source Country, Source ID, Source Type"		"Optional"	"Generic"
158	3	"Anchor berth"	"Text File Reference"		"Optional"	"Generic"
180	3	"Anchor berth"	"Relative Vertical Accuracy"		"Optional"	"Generic"
8	3	"Anchor berth"	"Type of Anchorage"		"Optional"	"Specific"
85	3	"Anchor berth"	"End Date"		"Optional"	"Specific"
86	3	"Anchor berth"	"Start Date"		"Optional"	"Specific"
301	3	"Anchor berth"	"Name (in national language characters)"		"Optional"	"Specific"
116	3	"Anchor berth"	"Name"		"Optional"	"Specific"
149	3	"Anchor berth"	"Status"		"Optional"	"Specific"
119	3	"Anchor berth"	"Seasonal Start Date"		"Optional"	"Specific"
118	3	"Anchor berth"	"Seasonal End Date"		"Optional"	"Specific"
127	3	"Anchor berth"	"Radius"		"Optional"	"Specific"
1	4	"Anchorage Area"	"Production Agency"		"Optional"	"Generic"
80	4	"Anchorage Area"	"Source Scale"		"Optional"	"Generic"
22491	4	"Anchorage Area"	"Copyright statement"		"Optional"	"Generic"
22489	4	"Anchorage Area"	"Absolute Vertical Accuracy"		"Optional"	"Generic"
97	4	"Anchorage Area"	"Relative Horizontal Accuracy"		"Optional"	"Generic"
102	4	"Anchorage Area"	"Supporting Textual Information"		"Optional"	"Generic"
300	4	"Anchorage Area"	"Supporting Textual Information (in national language characters)"		"Optional"	"Generic"
304	4	"Anchorage Area"	"Text File Reference (in national language characters)"		"Optional"	"Generic"
120	4	"Anchorage Area"	"Image File Link"		"Optional"	"Generic"
