1	"Administration area (named)"	"A defined (and possibly named) administrative area"		"MFF"	"ADMARE"	"Geospatial"
2	"Airport/Airfield"	"An area containing at least one runway, used for landing, take-off, and movement of aircraft. (AML)"		"RAL"	"AIRARE"	"Geospatial"
3	"Anchor Berth"	"A designated area of water where a single vessel, sea plane, etc... may anchor. (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"MFF"	"ACHBRT"	"Geospatial"
4	"Anchorage Area"	"An area in which vessels anchor or may anchor (IHO Dictionary, S-32, 5th Edition, 130)"		"ESB"	"ACHARE"	"Geospatial"
5	"Beacon, cardinal"	"A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey. (IHO S-32: 420)  A cardinal beacon is used in conjunction with the compass to indicate where the mariner may find the best navigable water.  It is placed in one of the four quadrants (North, East, South and West), bounded by inter-cardinal bearings from the point marked."		"MFF"	"BCNCAR"	"Geospatial"
6	"Beacon, isolated danger"	"A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey. (IHO S-32: 420)  An isolated danger beacon is a beacon erected on an isolated danger of limited extent which has navigable water all around it. (UKHO NP735, 5th edition)"		"MFF"	"BCNISD"	"Geospatial"
7	"Beacon, lateral"	"A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey.(IHO S-32: 420)  A lateral beacon is used to indicate the port or starboard hand side of the route to be followed.  They are generally used for well defined channels and are used in conjunction with a conventional direction of buoyage. (UKHO NP735, 5th edition)"		"MFF"	"BCNLAT"	"Geospatial"
8	"Beacon, safe water"	"A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey. (IHO S-32: 420)  A safe water beacon may be used to indicate that there is navigable water around the mark. (UKHO NP735, 5th Edition)"		"MFF"	"BCNSAW"	"Geospatial"
9	"Beacon, special purpose"	"A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey.(IHO S-32: 420)  A special purpose beacon is primarily used to indicate an area or feature, the nature of which is apparent from reference to a chart, Sailing Directions or Notices to Mariners. (UKHO NP735, 5th edition)"		"MFF"	"BCNSPP"	"Geospatial"
10	"Berth"	"A named or numbered place where a vessel is moored at a wharf. (IHO Dictionary, S-32, 5th Edition,470)"		"MFF"	"BERTHS"	"Geospatial"
11	"Bridge"	"A structure erected over a depression or an obstacle such as a body of water, railroad etc. (Adapted from IHO Dictionary S-32, 5th Edition, 544)"		"ESB"	"BRIDGE"	"Geospatial"
12	"Building, single"	"A relatively permanent structure , roofed and usually walled.  It is designed for some particular use which it may be important to indicate.  (Digital Geographic Information Working Group - DGIWG, Oct 87.)"		"ESB"	"BUISGL"	"Geospatial"
13	"Built-up Area"	"An area containing a concentration of buildings and the supporting road or rail infrastructure (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"ESB MFF"	"BUAARE"	"Geospatial"
14	"Buoy, cardinal"	"A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation  or for other specific purposes. (IHO SP-32: 565) A cardinal buoy is used in conjunction with the compass to indicate where the mariner may find the best navigable water.  It is placed in one of the four quadrants (North, East, South and West), bounded by inter-cardinal bearings from the point marked. (UKHO NP 735, 5th Edition)"		"MFF"	"BOYCAR"	"Geospatial"
15	"Buoy, installation"	"A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation  or for other specific purposes. (IHO SP-32: 565) An installation buoy is a buoy used for loading tankers with gas or oil. (IHO Chart Specifications, M-4)"		"MFF"	"BOYINB"	"Geospatial"
16	"Buoy, isolated danger"	"A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation  or for other specific purposes. (IHO SP-32: 565) An isolated danger buoy is a buoy moored on or above an isolated danger of limited extent which has navigable water all around it. (UKHO NP735, 5th edition)"		"MFF"	"BOYISD"	"Geospatial"
17	"Buoy, lateral"	"A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation  or for other specific purposes. (IHO SP-32: 565) A lateral buoy is used to indicate the port or starboard hand side of the route to be followed.  They are generally used for well defined channels and are used in conjunction with a conventional direction of buoyage. (UKHO NP735, 5th edition)"		"MFF"	"BOYLAT"	"Geospatial"
18	"Buoy, safe water"	"A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes. (IHO SP-32: 565) A safe water buoy may be used to indicate that there is navigable water around the mark. (UKHO NP735, 5th Edition)"		"MFF"	"BOYSAW"	"Geospatial"
19	"Buoy, special purpose"	"A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes. (IHO SP-32: 565) A special purpose buoy is primarily used to indicate an area or feature, the nature of which is apparent from reference to a chart, Sailing Directions or Notices to Mariners. (UKHO NP735, 5th edition)"		"MFF"	"BOYSPP"	"Geospatial"
20	"Cable Area"	"An area which contains one or more submarine cables. (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"MFF ESB"	"CBLARE"	"Geospatial"
21	"Cable, Overhead"	"An assembly of wires or fibres, or a wire rope or chain, which is supported by structures such as poles or pylons and passing over or nearby navigable waters. (Hydrographic Service, Royal Australian Navy)"		"ESB"	"CBLOHD"	"Geospatial"
22	"Cable, Submarine"	"An assembly of wires or fibres, or a wire rope or chain which has been laid underwater or buried beneath the seabed. (Hydrographic Service, Royal Australian Navy)"		"ESB MFF"	"CBLSUB"	"Geospatial"
23	"Canal"	"An artificial waterway with no flow, or a controlled flow, used for navigation, or for draining or irrigating land (ditch). (United States Geological Survey, Jan.89)"		"ESB"	"CANALS"	"Geospatial"
24	"Canal Bank"	"The limit line between the water area of a canal and the area of land."		"ESB"	"CANBNK"	"Geospatial"
25	"Cargo Transhipment Area"	"An area designated for the transfer of cargo from one vessel to another. (adapted from IHO Dictionary, S-32, 5th Edition, 5593)."		"MFF"	"CTSARE"	"Geospatial"
26	"Causeway"	"A raised way across low or wet ground or water. (IHO Dictionary, S-32, 5th Edition, 662)"		"ESB"	"CAUSWY"	"Geospatial"
27	"Caution Area"	"Generally, an area where the mariner has to be made aware of circumstances influencing the safety of navigation."		"MFF"	"CTNARE"	"Geospatial"
28	"Checkpoint"	"An official place to register, declare or check goods and people (IHO Object Catalogue)."		"RAL"	"CHKPNT"	"Geospatial"
29	"Coastguard station"	"Watch keeping stations at which a watch is kept either continuously, or at certain times only. (IHO Chart Specs, M-4)"		"MFF"	"CGUSTA"	"Geospatial"
30	"Coastline"	"The line where shore and water meet. Although the terminology of coasts and shores is rather confused, shoreline and coastline are generally used as synonyms. (IHO Dictionary, S-32, 5th Edition, 858,4695)"		"ESB MFF"	"COALNE"	"Geospatial"
31	"Contiguous Zone"	"A zone contiguous to a coastal State's territorial sea, which may not extend beyond 24 nautical miles from the baselines from which the breadth of the territorial sea is measured.  The coastal state may exercise certain control in this zone subject to the provisions of International Law (IHO Dictionary, S-32, 5th Edition, 993) (For legal definition see UNCLOS Article 33)"		"RAL"	"CONZNE"	"Geospatial"
32	"Continental Shelf Area"	"The continental shelf of a coastal State comprises the sea bed and subsoil of the submarine areas that extend beyond its territorial sea throughout the natural prolongation of its land territory to the outer edge of the continental margin (as defined by UNCLOS article 76)"		"RAL"	"COSARE"	"Geospatial"
33	"Control Point"	"A point on the ground where position (horizontal and vertical) is used as a base for a dependent survey.  Also referred to as a control station. (IHO Dictionary S-32, 5th Edition,1026)"		"ESB"	"CTRPNT"	"Geospatial"
34	"Conveyor"	"A mechanical apparatus for moving bulk material or people from place to place (as by a moving belt or chain of receptacles) (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"ESB"	"CONVYR"	"Geospatial"
35	"Crane"	"A machine for lifting, shifting and lowering objects or materials by means of a swinging boom or with a lifting apparatus supported on an overhead track. (Digital Geographic Information Working Group, Oct.87)"		"ESB"	"CRANES"	"Geospatial"
36	"Current"	"A non-periodical movement of water, generally horizontally, due to many causes such as different temperatures and prevalent winds.  May be temporary or permanent. (Adapted from IHO Dictionary S-32, 5th Edition,1140)"		"ESB"	"CURENT"	"Geospatial"
37	"Custom Zone"	"The area within which national custom regulations are in force."		"RAL"	"CUSZNE"	"Geospatial"
